iter	RMSE
0	11.69073618
1	11.346015
2	11.01954871
3	10.70156508
4	10.40076143
5	10.09474667
6	9.800871184
7	9.50888607
8	9.232095204
9	8.969334321
10	8.709365421
11	8.459010157
12	8.213695583
13	7.975759659
14	7.741651656
15	7.520348114
16	7.305114593
17	7.090538144
18	6.879060085
19	6.673926719
20	6.478861852
21	6.292618696
22	6.105911058
23	5.925424361
24	5.754275817
25	5.586458333
26	5.423026874
27	5.264617894
28	5.110051966
29	4.962507326
30	4.819609355
31	4.680222378
32	4.544663948
33	4.414835491
34	4.284042086
35	4.164468217
36	4.044280457
37	3.926018681
38	3.814416757
39	3.703496414
40	3.597421027
41	3.491843719
42	3.391151329
43	3.290842951
44	3.196207549
45	3.106468835
46	3.014772409
47	2.926140818
48	2.841629675
49	2.758391162
50	2.680188456
51	2.601427694
52	2.526246417
53	2.453350062
54	2.381704329
55	2.314437897
56	2.249311237
57	2.184004013
58	2.120511663
59	2.060427027
60	2.000838844
61	1.943947179
62	1.887666635
63	1.833346739
64	1.782300488
65	1.731688575
66	1.68197162
67	1.634358471
68	1.589198183
69	1.544032936
70	1.500668633
71	1.458856292
72	1.419206378
73	1.379223962
74	1.340826962
75	1.303396011
76	1.267011712
77	1.231755944
78	1.197669497
79	1.164707975
80	1.132813232
81	1.102095676
82	1.072330909
83	1.044197813
84	1.016613921
85	0.9900190379
86	0.9639807059
87	0.9387824441
88	0.9147110263
89	0.8906284443
90	0.8679837938
91	0.8457657045
92	0.8240711165
93	0.8030771341
94	0.7826425187
95	0.7631412917
96	0.7440970462
97	0.7260120801
98	0.7082413487
99	0.6906701778
100	0.6743365984
101	0.658668074
102	0.6437021312
103	0.6289085379
104	0.6148759421
105	0.600900207
106	0.5872369725
107	0.5746520155
108	0.56241503
109	0.5508043246
110	0.538873426
111	0.5273318828
112	0.5163252095
113	0.5063317358
114	0.4959678312
115	0.4866379275
116	0.4776949697
117	0.4683248813
118	0.4602707977
119	0.4517892046
120	0.4439928773
121	0.4359669698
122	0.4280264629
123	0.4210371901
124	0.4138486265
125	0.4071676933
126	0.4012919929
127	0.3952391343
128	0.3890102949
129	0.3838723117
130	0.3780452802
131	0.3724613527
132	0.3676633491
133	0.3622787566
134	0.3577346129
135	0.3527671177
136	0.3486681702
137	0.344349155
138	0.3406741735
139	0.3366224363
140	0.3329590589
141	0.32954646
142	0.326207493
143	0.3229024015
144	0.319866554
145	0.317109134
146	0.3140570761
147	0.3113664976
148	0.3087754705
149	0.3062821344
150	0.3033730656
151	0.3009788133
152	0.2987168957
153	0.2963080757
154	0.2940514247
155	0.2916838499
156	0.2897075862
157	0.2873810493
158	0.2853870515
159	0.2832289458
160	0.2815695237
161	0.2798763333
162	0.2780797407
163	0.276415357
164	0.2748903611
165	0.2732197409
166	0.2718548027
167	0.270604123
168	0.268939063
169	0.2679155817
170	0.2669801255
171	0.2660119572
172	0.2651338836
173	0.264098838
174	0.2629036467
175	0.2616845455
176	0.2605493911
177	0.2595906163
178	0.2584557062
179	0.2573401904
180	0.2563211887
181	0.2554599077
182	0.2543472116
183	0.2535517101
184	0.252553969
185	0.2518469786
186	0.2510361689
187	0.2501390014
188	0.2492929218
189	0.2487108051
190	0.2481565953
191	0.2473150673
192	0.2467374585
193	0.2459528573
194	0.2452573156
195	0.2444268388
196	0.2439691439
197	0.2434495136
198	0.2431067562
199	0.2427164629
200	0.2419711528
201	0.2416491256
202	0.2407644395
203	0.2400384193
204	0.2395466967
205	0.2386509293
206	0.2379335514
207	0.2372052402
208	0.236617636
209	0.2357456483
210	0.2351957851
211	0.2345224838
212	0.2341522429
213	0.2339539745
214	0.2334517255
215	0.2333489499
216	0.2331749501
217	0.2326365081
218	0.2323131116
219	0.2321470619
220	0.2317196199
221	0.2316001808
222	0.2315332416
223	0.2313767583
224	0.2310194399
225	0.2307442207
226	0.2303745248
227	0.2302294014
228	0.2298021013
229	0.2297376426
230	0.2295167222
231	0.2290967851
232	0.2284686774
233	0.2282960877
234	0.2282235449
235	0.2280948331
236	0.2279023734
237	0.2276741124
238	0.2276244935
239	0.2274648075
240	0.2273106026
241	0.2271519514
242	0.2269697793
243	0.2266284634
244	0.2264423768
245	0.22634811
246	0.2262437255
247	0.2258637854
248	0.2258152123
249	0.2257636572
250	0.2254821051
251	0.2253009881
252	0.2244659021
253	0.2240776475
254	0.2236850516
255	0.2232550494
256	0.2229901138
257	0.2223744353
258	0.2222278522
259	0.2221357015
260	0.2220379595
261	0.2217355532
262	0.221357098
263	0.2207982685
264	0.2206763212
265	0.2206024652
266	0.2200129879
267	0.2198816416
268	0.2198104604
269	0.2195432681
270	0.2194235119
271	0.2191772716
272	0.219100721
273	0.2187118384
274	0.2186152733
275	0.2179227283
276	0.2177734614
277	0.2172698951
278	0.217014571
279	0.2166099937
280	0.2165288298
281	0.2164076345
282	0.2162114969
283	0.2154660604
284	0.2152667919
285	0.2151736678
286	0.2151276287
287	0.2150547667
288	0.2149022835
289	0.2146119272
290	0.2141992908
291	0.2141510988
292	0.2139621547
293	0.2136744128
294	0.2134719664
295	0.2133218238
296	0.2132577438
297	0.2129272055
298	0.2127117892
299	0.2123418169
300	0.2120057869
301	0.2119187723
302	0.2118829327
303	0.2118071797
304	0.2117689026
305	0.2115047038
306	0.211468764
307	0.2113338369
308	0.2112963989
309	0.2111317432
310	0.2108698575
311	0.2108469977
312	0.2106370558
313	0.2104487942
314	0.2103590263
315	0.2099751442
316	0.2099336492
317	0.2099124216
318	0.2097364136
319	0.2092510373
320	0.2089553282
321	0.2086702593
322	0.2085652663
323	0.2085418256
324	0.2083584943
325	0.207939441
326	0.207741328
327	0.2076000953
328	0.2070385651
329	0.2069595475
330	0.2067421345
331	0.2067199352
332	0.206696455
333	0.2065525955
334	0.2065203336
335	0.2064966879
336	0.2064399149
337	0.2063488202
338	0.2063155428
339	0.2060378477
340	0.2059455619
341	0.2059356353
342	0.2057776263
343	0.2057477097
344	0.2055620624
345	0.2054309628
346	0.2054100895
347	0.2053977035
348	0.2049415162
349	0.2048978363
350	0.2047557648
351	0.2043385971
352	0.204281327
353	0.2041268471
354	0.2037380854
355	0.2036931007
356	0.2035073974
357	0.2034521784
358	0.2033949413
359	0.2032751773
360	0.2032437536
361	0.2032244632
362	0.2031359565
363	0.2030410971
364	0.2026322746
365	0.2026062584
366	0.2025968659
367	0.2023748515
368	0.2022849831
369	0.2021578748
370	0.2018337586
371	0.201792204
372	0.2016779905
373	0.2016401416
374	0.2015319639
375	0.2014342543
376	0.2014101812
377	0.2013566099
378	0.2013056
379	0.2012514706
380	0.2012274389
381	0.2011449614
382	0.2009048102
383	0.2005447452
384	0.2005077126
385	0.2004132742
386	0.2003650529
387	0.2003436292
388	0.2003293062
389	0.2002805377
390	0.2001456334
391	0.2001309903
392	0.2000732965
393	0.1999845695
394	0.1999630242
395	0.1999246073
396	0.1997846483
397	0.1997659882
398	0.1997459675
399	0.1996964697
400	0.1996630583
401	0.1996345686
402	0.1992518256
403	0.1990175445
404	0.1989872988
405	0.1986491783
406	0.1984527388
407	0.1983495792
408	0.1983153174
409	0.1983094725
410	0.1982023551
411	0.198188288
412	0.1977898844
413	0.1976735826
414	0.1976545076
415	0.1976223343
416	0.197534592
417	0.1974964992
418	0.1974739312
419	0.1973672691
420	0.1973514742
421	0.1973350481
422	0.1973278912
423	0.1973187937
424	0.1973001573
425	0.1971634764
426	0.1971367412
427	0.1965358605
428	0.196506232
429	0.1962286613
430	0.1960458608
431	0.1955395479
432	0.1955164293
433	0.1954942307
434	0.1954876955
435	0.1954231884
436	0.1953305558
437	0.1952408007
438	0.1952148497
439	0.1951194492
440	0.1951095647
441	0.1950699022
442	0.1949412345
443	0.19489429
444	0.1948595859
445	0.1945965031
446	0.1945206917
447	0.1944194743
448	0.1943806837
449	0.1942979225
450	0.194291561
451	0.1942535762
452	0.1941743999
453	0.1937457976
454	0.1936853732
455	0.193630799
456	0.193616102
457	0.1935862329
458	0.1935551323
459	0.1935411137
460	0.193423408
461	0.1934144822
462	0.1933949636
463	0.1933369535
464	0.1933081378
465	0.1932213333
466	0.1932148627
467	0.1931972173
468	0.1931886397
469	0.1929832286
470	0.1929713044
471	0.1928996233
472	0.1927891701
473	0.1927486825
474	0.1924386433
475	0.1922139552
