iter	Passed	Remaining
0	55	55448
1	106	53028
2	184	61436
3	256	63927
4	362	72144
5	475	78790
6	543	77042
7	597	74128
8	683	75228
9	761	75422
10	873	78577
11	973	80112
12	1103	83795
13	1175	82803
14	1284	84363
15	1357	83496
16	1460	84442
17	1545	84333
18	1572	81187
19	1585	77708
20	1695	79052
21	1797	79890
22	1833	77898
23	1861	75703
24	1915	74716
25	1990	74562
26	2047	73800
27	2136	74165
28	2206	73890
29	2280	73726
30	2338	73087
31	2409	72882
32	2495	73134
33	2577	73222
34	2611	72010
35	2685	71904
36	2775	72237
37	2869	72656
38	2956	72842
39	3062	73502
40	3167	74091
41	3265	74485
42	3339	74321
43	3378	73399
44	3466	73563
45	3555	73734
46	3587	72737
47	3628	71968
48	3712	72061
49	3786	71950
50	3885	72295
51	3919	71450
52	3992	71346
53	4070	71302
54	4103	70508
55	4167	70250
56	4285	70905
57	4326	70275
58	4343	69268
59	4436	69506
60	4488	69092
61	4559	68980
62	4597	68381
63	4651	68032
64	4717	67855
65	4824	68267
66	4847	67498
67	4907	67259
68	4999	67462
69	5044	67025
70	5111	66881
71	5221	67297
72	5310	67432
73	5352	66983
74	5426	66926
75	5478	66603
76	5525	66238
77	5545	65548
78	5566	64890
79	5580	64178
80	5596	63500
81	5658	63342
82	5727	63283
83	5793	63176
84	5902	63538
85	5963	63377
86	6031	63300
87	6118	63409
88	6177	63228
89	6246	63162
90	6351	63450
91	6467	63827
92	6538	63765
93	6576	63388
94	6600	62877
95	6624	62379
96	6666	62063
97	6691	61592
98	6748	61421
99	6797	61180
100	6814	60653
101	6832	60150
102	6892	60029
103	6979	60129
104	7003	59699
105	7064	59577
106	7177	59898
107	7209	59545
108	7261	59357
109	7333	59331
110	7388	59171
111	7464	59185
112	7576	59470
113	7618	59210
114	7675	59070
115	7715	58800
116	7808	58931
117	7903	59073
118	8004	59257
119	8110	59474
120	8199	59565
121	8284	59624
122	8353	59561
123	8449	59694
124	8502	59516
125	8565	59414
126	8599	59114
127	8669	59060
128	8740	59013
129	8803	58913
130	8866	58813
131	8912	58606
132	8989	58597
133	9083	58704
134	9183	58845
135	9296	59060
136	9338	58824
137	9403	58740
138	9510	58912
139	9546	58639
140	9605	58521
141	9688	58542
142	9733	58331
143	9799	58252
144	9856	58121
145	9892	57861
146	9942	57693
147	9989	57504
148	10068	57507
149	10163	57591
150	10222	57478
151	10254	57208
152	10331	57193
153	10416	57225
154	10489	57183
155	10535	57001
156	10597	56901
157	10652	56770
158	10752	56871
159	10851	56970
160	10904	56824
161	10957	56680
162	11041	56700
163	11106	56616
164	11202	56690
165	11287	56709
166	11333	56529
167	11431	56612
168	11528	56685
169	11634	56801
170	11685	56651
171	11745	56541
172	11799	56405
173	11861	56307
174	11907	56136
175	11991	56141
176	12066	56105
177	12099	55874
178	12147	55716
179	12219	55668
180	12303	55671
181	12349	55505
